model,train_dataset,test_dataset,accuracy,precision,recall,f1,roc_auc
M1_Word_TFIDF_LogReg,semeval,old_ai,0.5057610673135233,0.5057610673135233,1.0,0.6717680225533629,0.5016918980153301
M2_Char_TFIDF_LinearSVM,semeval,old_ai,0.5045482110369921,0.5051671732522797,0.9964028776978417,0.6704316256555063,0.4008165246943549
M3_Stylometric_RandomForest,semeval,old_ai,0.48756822316555487,0.4960573476702509,0.829736211031175,0.6209062359802602,0.37719247914551796
M4_Hybrid_TFIDF_Stylometric,semeval,old_ai,0.5069739235900546,0.5063907486305539,0.9976019184652278,0.6717803794913202,0.36264877668417417
M1_Word_TFIDF_LogReg,raid,old_ai,0.5142510612492419,0.510116492949111,0.9976019184652278,0.6750507099391481,0.5416751261567433
M2_Char_TFIDF_LinearSVM,raid,old_ai,0.4990903577926016,0.5024875621890548,0.9688249400479616,0.6617526617526618,0.4550455341248474
M3_Stylometric_RandomForest,raid,old_ai,0.5057610673135233,0.5057610673135233,1.0,0.6717680225533629,0.37737638110370597
M4_Hybrid_TFIDF_Stylometric,raid,old_ai,0.5184960582171013,0.5364963503649635,0.35251798561151076,0.42547033285094066,0.5184137352694531
M1_Word_TFIDF_LogReg,old_ai,semeval,0.5287623941230781,0.5384615384615384,0.024955436720142603,0.04770017035775128,0.44615297340981674
M1_Word_TFIDF_LogReg,old_ai,raid,0.49646393210749645,0.4594594594594595,0.04815864022662889,0.08717948717948718,0.36284630527680417
M2_Char_TFIDF_LinearSVM,old_ai,semeval,0.5300871101119987,0.6021798365122616,0.01875901875901876,0.036384590055976294,0.3908216807459673
M2_Char_TFIDF_LinearSVM,old_ai,raid,0.4908062234794908,0.36,0.025495750708215296,0.047619047619047616,0.39003056929306507
M3_Stylometric_RandomForest,old_ai,semeval,0.46007787724298504,0.46401931617298325,0.913504795857737,0.6154286041059073,0.4676440720995176
M3_Stylometric_RandomForest,old_ai,raid,0.4186704384724187,0.43907563025210083,0.5920679886685553,0.5042219541616405,0.3580328419839631
M4_Hybrid_TFIDF_Stylometric,old_ai,semeval,0.5409658383846494,0.6601851851851852,0.06052117816823699,0.11087784775678408,0.6177802848158119
M4_Hybrid_TFIDF_Stylometric,old_ai,raid,0.5275813295615276,0.8064516129032258,0.0708215297450425,0.13020833333333334,0.5016164914133897
