detector,slice_column,slice_value,n,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,roc_auc
TF-IDF Word LR,domain,abstracts,1000,0.463,0.48074921956295524,0.924,0.6324435318275154,0.25319512260199045,0.463,0.318077053483331,0.27417199999999997
TF-IDF Word LR,attack,none,1000,0.463,0.48074921956295524,0.924,0.6324435318275154,0.25319512260199045,0.463,0.318077053483331,0.27417199999999997
TF-IDF Char LR,domain,abstracts,1000,0.461,0.4084507042253521,0.174,0.24403927068723702,0.44183653381534443,0.46099999999999997,0.41261792594190916,0.423632
TF-IDF Char LR,attack,none,1000,0.461,0.4084507042253521,0.174,0.24403927068723702,0.44183653381534443,0.46099999999999997,0.41261792594190916,0.423632
TF-IDF Word SVM,domain,abstracts,1000,0.487,0.49341438703140833,0.974,0.6550100874243443,0.24670719351570417,0.487,0.32750504371217215,0.27923600000000004
TF-IDF Word SVM,attack,none,1000,0.487,0.49341438703140833,0.974,0.6550100874243443,0.24670719351570417,0.487,0.32750504371217215,0.27923600000000004
Stylometric LR,domain,abstracts,1000,0.5,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.084952
Stylometric LR,attack,none,1000,0.5,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.084952
Hybrid TF-IDF + Stylometric LR,domain,abstracts,1000,0.414,0.23125,0.074,0.11212121212121212,0.3400297619047619,0.414,0.33740388964269563,0.148888
Hybrid TF-IDF + Stylometric LR,attack,none,1000,0.414,0.23125,0.074,0.11212121212121212,0.3400297619047619,0.414,0.33740388964269563,0.148888
Saved Epoch TF-IDF SGD,domain,abstracts,1000,0.454,0.475635593220339,0.898,0.6218836565096952,0.28246065375302665,0.454,0.3199346340102433,0.34348399999999996
Saved Epoch TF-IDF SGD,attack,none,1000,0.454,0.475635593220339,0.898,0.6218836565096952,0.28246065375302665,0.454,0.3199346340102433,0.34348399999999996
